#	author	work	ref	greek_form	greek_context	class	reason
16	Philo	tlg0018/tlg003	52	ἀδελφοκτόνον	τὸν ἀδελφοκτόνον καὶ ἐπάρατον Κάιν	B	"Brother-killer" compound = Cain (biological, Abel)
17	Philo	tlg0018/tlg003	43	ἀδελφὸν	τὸν Ἅβελ τὸν ἀδελφὸν αὐτοῦ	B	Abel as biological brother of Cain
18	Philo	tlg0018/tlg005	126	ἀδελφός	Ἀαρὼν ὁ ἀδελφός σου ὁ Λευίτης	B	Exod 4:14 — Aaron as Moses's biological brother
19	Philo	tlg0018/tlg015	62	ἀδελφή	ἀληθῶς ἀδελφή μού ἐστιν ἐκ πατρός	B	Gen 20:12 — Sarah as Abraham's half-sister (biological)
20	Philo	tlg0018/tlg017	23	ἀδελφοῦ	ἀποστρέψαι τὸν θυμὸν καὶ τὴν ὀργὴν τοῦ ἀδελφοῦ σου	B	Rebekah on Esau's anger (Gen 27) — biological
21	Philo	tlg0018/tlg022	2.156	ἀδελφιδοῦς	ἀδελφιδοῦς GHPV2OK: ἀδελφοὺς ceteri	B	"Nephew" (compound) — biological kin via brother-relation
22	Philo	tlg0018/tlg024	3.22	ἀδελφὴν	μὴ ἀδελφὴν ἄγεσθαι γυναῖκα	B	Incest law prohibition — biological sister
23	Philo	tlg0018/tlg002	3.242	ἀδελφὰς	συγγενεῖς καὶ ἀδελφὰς ἀρετάς	E	"Sister-virtues" (peace and priesthood) — metaphorical
24	Philo	tlg0018/tlg024	2.73	ἀδελφούς	καλέσας εὐθυβόλως "ἀδελφούς"	D	Spec. Leg. — Mosaic code calling Israelites "brothers" (covenantal)
25	Philo	tlg0018/tlg014	60	ἀδελφαὶ	ἀφροσύναι καὶ ἀδικίαι καὶ αἱ τούτων συγγενεῖς καὶ ἀδελφαὶ	E	Vices personified with "sister" kin terms — metaphorical
26	Philo	tlg0018/tlg026	148	ἀδελφοὺς	τέκνα γονέων καὶ γονεῖς τέκνων καὶ ἀδελφοὺς ἀδελφῶν ὑπεριδεῖν	B	Civil strife causing biological kin to disown each other
27	Philo	tlg0018/tlg025	61	ἀδελφοῖς	ἀδελφοῖς Α τούτοις Richt. (apparatus only)	C	Critical-apparatus fragment — insufficient context
28	Philo	tlg0018/tlg026	74	ἀδελφοκτόνου	τὰ ὁρισθέντα κατὰ τοῦ πρώτου γεγονότος ἀδελφοκτόνου	B	"First brother-killer" = Cain (biological)
29	Philo	tlg0018/tlg021	235	ἀδελφόν	οἰκειότητος τῆς πρὸς τὸν συκοφαντούμενον ἀδελφόν	B	Joseph's brothers — biological
30	Philo	tlg0018/tlg015	291	ἀδελφὸν	τὸ γέρως ἀδελφὸν καὶ παρώνυμον καλὸν γῆρας	E	Old age as "brother of honour" — metaphorical personification
31	Philo	tlg0018/tlg022	1.84	ἀδελφὸν	ὑποδιακονικὸν στόμα τὸν ἀδελφὸν ἕξεις	B	Moses using Aaron "the brother" as spokesman — biological
32	Philo	tlg0018/tlg024	3.14	ἀδελφαῖς	πατρὸς συνεῖναι γαμετῇ καὶ τηθίσι καὶ ἀδελφαῖς	B	Incest prohibitions — biological sisters
33	Philo	tlg0018/tlg019	1.251	ἀδελφὴν	τὴν ἀδελφὴν ἰατρικῆς	E	"Sister of medicine" (a related art) — metaphorical
34	Philo	tlg0018/tlg002	1.30	ἀδελφὸν	ἡ δὲ ὁρμή τὸ ἀδελφὸν τῆς φαντασίας	E	Impulse as "brother of imagination" — metaphorical/conceptual
35	Philo	tlg0018/tlg031	84	ἀδελφὸν	φιλαυτῆσαι μᾶλλον ἢ πρὸς τὸν ἀδελφὸν εὔνοιαν ἐπιδείξασθαι	B	Likely Legatio/Flaccum — royal sibling dynamic, biological
