#	author	work	ref	greek_form	greek_context	class	reason
17	Epictetus	tlg0557/tlg001	4.5.30	ἀδελφὸς	κἂν ἀδελφὸς ᾖ κἂν υἱός κἂν πατήρ	B	Kinship list, biological
18	Epictetus	tlg0557/tlg001	1.2.25	ἀδελφέ	ἄγε ἀδελφέ τί μέλλεις ποιεῖν	E	Stoic diatribe vocative — rhetorical device
19	Epictetus	tlg0557/tlg001	3.24.78	ἀδελφὸν	ἀδελφὸν ἀπέλιπες πατρίδα φίλους οἰκείους	B	Kinship-sacrifice list, biological
20	Epictetus	tlg0557/tlg001	3.3.6	ἀδελφὸς	οἴχεται καὶ πατὴρ καὶ ἀδελφὸς καὶ πατρὶς καὶ πάντα τὰ πράγματα	B	Kinship loss list, biological
21	Epictetus	tlg0557/tlg001	3.10.19	ἀδελφόν	οὐκ ἔδει οὕτως μοι προσενεχθῆναι τὸν ἀδελφόν	B	Brother's conduct toward speaker, biological
22	Epictetus	tlg0557/tlg001	1.15.1	ἀδελφὸν	πῶς τὸν ἀδελφὸν πείσῃ μηκέτι χαλεπῶς αὐτῷ ἔχειν	B	Persuading one's brother — biological
23	Epictetus	tlg0557/tlg001	2.22.15	ἀδελφὸς	ἄν τʼ ἀδελφὸς ᾖ τοῦτο ἄν τε πατὴρ ἄν τε τέκνον	B	Kinship list, biological
24	Epictetus	tlg0557/tlg001	1.13.3	ἀδελφοῦ	οὐκ ἀνέξῃ τοῦ ἀδελφοῦ τοῦ σαυτοῦ ὃς ἔχει τὸν Δία πρόγονον	E	Zeus-ancestor cosmic-brotherhood — universalist metaphor
25	Dio_Chrysostom	tlg0612/tlg001	30.2	ἀδελφοῦ	εἴ τις ἐκεῖνον μᾶλλον ἐφίλει ὑμῶν τοῦ τε πατρὸς καὶ ἀδελφοῦ	B	Loving someone more than father/brother — biological
26	Dio_Chrysostom	tlg0612/tlg001	38.15	ἀδελφότης	ἡ δὲ ἀδελφότης τί ἄλλο ἐστὶν ἢ ἀδελφῶν ὁμόνοια	E	Civic-concord-as-brotherhood metaphor (Or. 38)
27	Dio_Chrysostom	tlg0612/tlg001	55.1	ἀδελφὸς	ὁ ζωγράφος καὶ ὁ ἀδελφὸς ἄμφω τοῦ πατρὸς Ἀγλαοφῶντος	B	Father's two sons — biological
28	Dio_Chrysostom	tlg0612/tlg001	11.123	ἀδελφῶν	ὃς ἦν μετʼ ἐκεῖνον τῶν ἀδελφῶν ἄριστος	B	Hector's brothers (Trojan princes) — biological
29	Dio_Chrysostom	tlg0612/tlg001	11.13	ἀδελφῆς	τῆς Ἑλένης ἀδελφῆς οὔσης	B	Helen as biological sister (of Dioscuri)
30	Dio_Chrysostom	tlg0612/tlg001	10.5	ἀδελφῶν	ὑπὸ υἱέων καὶ ἀδελφῶν καὶ γυναικῶν	B	Family list, biological
31	Dio_Chrysostom	tlg0612/tlg001	7.10	ἀδελφὰς	ἔχομεν δὲ γυναῖκας ἀλλήλων ἀδελφὰς	B	Wives who are each other's sisters — biological
32	Dio_Chrysostom	tlg0612/tlg001	30.1	τἀδελφοῦ	διὰ τὸ πένθος τἀδελφοῦ τελευτῆσαι γὰρ αὐτοῖν τὸν πρεσβύτερον	B	Grief over deceased elder brother — biological
33	Dio_Chrysostom	tlg0612/tlg001	87.13	ἀδελφοὶ	οὐκ ἀδελφοὶ μὲν ὄντες ἀλλήλους ἀπέκτειναν	B	Brothers killing each other — biological
34	Dio_Chrysostom	tlg0612/tlg001	73.10	ἀδελφόν	ὡς ἐκεῖνος ἐνουθέτει τὸν ἀδελφόν	B	Zethus admonishing Amphion — biological (mythological)
35	Dio_Chrysostom	tlg0612/tlg001	11.49	ἀδελφοῖς	Τυνδάρεῴ τε καὶ τοῖς ἀδελφοῖς τῆς Ἑλένης	B	Helen's brothers (Dioscuri) — biological
36	Dio_Chrysostom	tlg0612/tlg001	74.1	ἀδελφῶν	ὑπὸ συγγενῶν τινων ἐνίους δὲ καὶ ὑπὸ τῶν ἔγγιστα ἀδελφῶν	B	Kin list, biological
